album_name,artist,release_date,added_at,album_length,genres
華麗なるエレクトーン -ザ・ワード-,セキトオ・シゲオ,1975-01-25,2020-12-21T06:44:31Z,44.00808333333333,['classic japanese jazz']
Quinteto Ternura,Quinteto Ternura,1974-03-30,2020-12-21T06:42:45Z,30.996416666666665,['brazilian boogie']
When I Was Born For The 7th Time (Expanded),Cornershop,01/01/1997,2020-12-21T06:19:19Z,80.1476,['britpop']
Gala,Lush,1990-11-12,2020-12-21T05:43:30Z,46.639266666666664,"['alternative pop', 'alternative rock', 'art pop', 'britpop', 'dream pop', 'shoegaze']"
The Piano Prince of New Orleans,James Booker,1976-01-01,2020-12-21T03:44:21Z,50.032383333333335,"['boogie-woogie', 'jazz blues', 'louisiana blues', 'new orleans blues', 'new orleans soul', 'piano blues']"
Cave Vaults On The Moon In New Mexico,Tan Cologne,2020-02-14,2020-12-18T23:28:01Z,37.43996666666666,['modern dream pop']
Mia Gargaret,Gia Margaret,2020-06-12,2020-12-18T22:50:46Z,27.56145,"['indie folk', 'indie pop', 'small room']"
I Was Born Swimming,Squirrel Flower,2020-01-31,2020-12-18T22:50:27Z,35.08258333333333,"['boston indie', 'bubblegrunge', 'indie folk', 'indie pop']"
Yes,Shinichi Atobe,2020-07-17,2020-12-18T22:50:05Z,46.315416666666664,"['art pop', 'dub techno', 'float house', 'fourth world', 'japanese electronic', 'japanese house', 'japanese techno', 'microhouse', 'minimal techno', 'outsider house']"
Help,Duval Timothy,2020-08-07,2020-12-18T22:49:45Z,55.91325,['multidisciplinary']
Alletiders,Alle,2020-05-08,2020-12-18T22:48:39Z,53.71328333333334,[]
Galore,Oklou,2020-09-24,2020-12-18T22:47:54Z,33.27546666666667,"['art pop', 'electropop', 'escape room', 'hyperpop']"
Weaving a Basket,Sea Oleena,2020-10-31,2020-12-18T22:47:37Z,48.11865,"['ambient pop', 'gauze pop']"
After Dark 3,Various Artists,2020-10-23,2020-12-13T03:49:41Z,72.02006666666666,[]
